詞彙,注音,英譯,量詞
草率,ㄘㄠˇ ㄕㄨㄞˋ,careless / negligent / sloppy / not serious,
草藥,ㄘㄠˇ ㄧㄠˋ,herbal medicine,
測,ㄘㄜˋ,to survey / to measure / to conjecture,
策畫,ㄘㄜˋ ㄏㄨㄚˋ,variant of 策劃划[ce4 hua4],
策劃,ㄘㄜˋ ㄏㄨㄚˋ,to plot / to scheme / to bring about / to engineer / planning / producer / planner,
差額,ㄔㄚ ㄜˊ,balance (financial) / discrepancy (in a sum or quota) / difference,
插曲,ㄔㄚ ㄑㄩˇ,"music played during a movie, play etc / incidental music / music played in a theatrical interlude / (fig.) incident / episode",
插嘴,ㄔㄚ ㄗㄨㄟˇ,to interrupt (sb talking) / to butt in / to cut into a conversation,
茶具,ㄔㄚˊ ㄐㄩˋ,tea set / tea service,
察覺,ㄔㄚˊ ㄐㄩㄝˊ,to sense / to perceive / to become aware of / to detect,
查明,ㄔㄚˊ ㄇㄧㄥˊ,to investigate and find out / to ascertain,
蟬,ㄔㄢˊ,cicada,
饞,ㄔㄢˊ,gluttonous / greedy / to have a craving,
潺潺,ㄔㄢˊ ㄔㄢˊ,murmur / babble (sound of water),
猖獗,ㄔㄤ ㄐㄩㄝˊ,to be rampant / to run wild,
腸,ㄔㄤˊ,intestines,
長遠,ㄔㄤˊ ㄩㄢˇ,long-term / long-range,
場次,ㄔㄤˇ ㄘˋ,"the number of showings of a movie, play etc / screening / performance",
場面,ㄔㄤˇ ㄇㄧㄢˋ,scene / spectacle / occasion / situation,
倡導,ㄔㄤˋ ㄉㄠˇ,to advocate / to initiate / to propose / to be a proponent of (an idea or school of thought),
唱腔,ㄔㄤˋ ㄑㄧㄤ,vocal music (in opera) / aria,
暢銷,ㄔㄤˋ ㄒㄧㄠ,to sell well / best seller / chart-topping,
產物,ㄔㄢˇ ㄨˋ,product / result (of),
產值,ㄔㄢˇ ㄓˊ,value of output / output value,
超速,ㄔㄠ ㄙㄨˋ,to exceed the speed limit / to speed / high-speed,
超脫,ㄔㄠ ㄊㄨㄛ,to stand aloof / to be detached from / to transcend worldliness / untrammeled / unconventional,
抄襲,ㄔㄠ ㄒㄧˊ,to plagiarize / to copy / to attack the flank or rear of an enemy,
吵嘴,ㄔㄠˇ ㄗㄨㄟˇ,to quarrel,
車輛,ㄔㄜ ㄌㄧㄤˋ,vehicle,
車廂,ㄔㄜ ㄒㄧㄤ,carriage,節
撤回,ㄔㄜˋ ㄏㄨㄟˊ,to recall / to revoke / to retract,
撤銷,ㄔㄜˋ ㄒㄧㄠ,to repeal / to revoke / (computing) to undo,
沉默,ㄔㄣˊ ㄇㄛˋ,taciturn / uncommunicative / silent,
沉思,ㄔㄣˊ ㄙ,to contemplate / to ponder / contemplation / meditation,
沉重,ㄔㄣˊ ㄓㄨㄥˋ,heavy / hard / serious / critical,
塵土,ㄔㄣˊ ㄊㄨˇ,dust,
呈,ㄔㄥˊ,to present to a superior / memorial / petition / to present (a certain appearance) / to assume (a shape) / to be (a certain color),
乘,ㄔㄥˊ,four horse military chariot (archaic) / four (archaic) / generic term for history books,
承包,ㄔㄥˊ ㄅㄠ,to contract / to undertake (a job),
承擔,ㄔㄥˊ ㄉㄢ,to undertake / to assume (responsibility etc),
承諾,ㄔㄥˊ ㄋㄨㄛˋ,to promise / to undertake to do something / commitment,
成敗,ㄔㄥˊ ㄅㄞˋ,success or failure,
成見,ㄔㄥˊ ㄐㄧㄢˋ,preconceived idea / bias / prejudice,
成就,ㄔㄥˊ ㄐㄧㄡˋ,accomplishment / success / achievement / to achieve (a result) / to create / to bring about,個
成品,ㄔㄥˊ ㄆㄧㄣˇ,finished goods / a finished product,
成全,ㄔㄥˊ ㄑㄩㄢˊ,to help sb accomplish his aim / to help sb succeed / to complete / to make whole / to round off,
成人,ㄔㄥˊ ㄖㄣˊ,adult,
成效,ㄔㄥˊ ㄒㄧㄠˋ,effect / result,
成衣,ㄔㄥˊ ㄧ,ready-made clothes,
成員,ㄔㄥˊ ㄩㄢˊ,member,
成長,ㄔㄥˊ ㄓㄤˇ,to mature / to grow / growth,
稱號,ㄔㄥ ㄏㄠˋ,name / term of address / title,
稱呼,ㄔㄥ ㄏㄨ,to call / to address as / appellation,
撐腰,ㄔㄥ ㄧㄠ,to support / to brace,
程式,ㄔㄥˊ ㄕˋ,form / pattern / formula / program,
呈獻,ㄔㄥˊ ㄒㄧㄢˋ,to present respectfully,
誠心,ㄔㄥˊ ㄒㄧㄣ,sincerity,
誠心誠意,ㄔㄥˊ ㄒㄧㄣ ㄔㄥˊ ㄧˋ,earnestly and sincerely (idiom); with all sincerity,
誠摯,ㄔㄥˊ ㄓˋ,sincere / cordial,
稱,ㄔㄥˋ,variant of 秤[cheng4] / steelyard,
吃驚,ㄔ ㄐㄧㄥ,to be startled / to be shocked / to be amazed,
吃苦,ㄔ ㄎㄨˇ,to bear hardships,
吃力,ㄔ ㄌㄧˋ,to entail strenuous effort / to toil at a task / strenuous / laborious / strain,
持,ㄔˊ,to hold / to grasp / to support / to maintain / to persevere / to manage / to run (i.e. administer) / to control,
持久,ㄔˊ ㄐㄧㄡˇ,lasting / enduring / persistent / permanent / protracted / endurance / persistence / to last long,
持平,ㄔˊ ㄆㄧㄥˊ,"to stay level (of exchange rate, market share etc) / fair / unbiased",
持續,ㄔˊ ㄒㄩˋ,to continue / to persist / sustainable / preservation,
池,ㄔˊ,pond / reservoir / moat,
池子,ㄔˊ ㄗ˙,pond / bathhouse pool / dance floor of a ballroom / (old) stalls (front rows in a theater),
遲鈍,ㄔˊ ㄉㄨㄣˋ,slow in one's reactions / sluggish (in movement or thought),
充斥,ㄔㄨㄥ ㄔˋ,to be full of / to flood / to congest,
充裕,ㄔㄨㄥ ㄩˋ,abundant / ample / plenty / abundance,
沖淡,ㄔㄨㄥ ㄉㄢˋ,to dilute,
沖天,ㄔㄨㄥ ㄊㄧㄢ,to soar / to rocket,
衝,ㄔㄨㄥ,powerful / vigorous / pungent / towards / in view of,
衝動,ㄔㄨㄥ ㄉㄨㄥˋ,to have an urge / to be impetuous / impulse / urge,
衝擊,ㄔㄨㄥ ㄐㄧˊ,to attack / to batter / (of waves) to pound against / shock / impact,
衝突,ㄔㄨㄥ ㄊㄨˊ,conflict / to conflict / clash of opposing forces / collision (of interests) / contention,
憧憬,ㄔㄨㄥ ㄐㄧㄥˇ,to long for / to look forward to / longing / vision for the future,
重疊,ㄔㄨㄥˊ ㄉㄧㄝˊ,"to overlap / to superimpose / to telescope / to run together / to duplicate / one over another / superposition / an overlap / redundancy / reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)",
崇尚,ㄔㄨㄥˊ ㄕㄤˋ,to hold up (as an model) / to hold in esteem / to revere / to advocate,
寵愛,ㄔㄨㄥˇ ㄞˋ,to dote on sb,
寵物,ㄔㄨㄥˇ ㄨˋ,house pet,
抽查,ㄔㄡ ㄔㄚˊ,random inspection / to do a spot check,
抽空,ㄔㄡ ㄎㄨㄥˋ,to find the time to do sth,
抽象,ㄔㄡ ㄒㄧㄤˋ,abstract / abstraction,種
抽樣,ㄔㄡ ㄧㄤˋ,sample / sampling,
愁,ㄔㄡˊ,to worry about,
仇,ㄔㄡˊ,spouse / companion,
仇恨,ㄔㄡˊ ㄏㄣˋ,to hate / hatred / enmity / hostility,
稠密,ㄔㄡˊ ㄇㄧˋ,dense,
出超,ㄔㄨ ㄔㄠ,trade surplus / favorable balance of trade,
出錯,ㄔㄨ ㄘㄨㄛˋ,to make a mistake / error,
出發點,ㄔㄨ ㄈㄚ ㄉㄧㄢˇ,starting point / (fig.) basis / motive,
出局,ㄔㄨ ㄐㄩˊ,to send off (player for a foul) / to knock out (i.e. to beat in a knock-out tournament) / to eliminate / to call out / to kill off / to pull out of (a competition) / to retire (a runner in baseball) / out (i.e. man out in baseball),
出口,ㄔㄨ ㄎㄡˇ,an exit / to speak / to export / (of a ship) to leave port,個
出力,ㄔㄨ ㄌㄧˋ,to exert oneself,
出路,ㄔㄨ ㄌㄨˋ,a way out (lit. and fig.) / opportunity for advancement / a way forward / outlet (for one's products),
出馬,ㄔㄨ ㄇㄚˇ,to set out (on a campaign) / to stand for election / to throw one's cap in the ring,
出賣,ㄔㄨ ㄇㄞˋ,to offer for sale / to sell / to sell out or betray,
出面,ㄔㄨ ㄇㄧㄢˋ,to appear personally / to step in / to step forth / to show up,
出名,ㄔㄨ ㄇㄧㄥˊ,well-known for sth / to become well known / to make one's mark,
出品,ㄔㄨ ㄆㄧㄣˇ,to produce an item / output / items that are produced,
出示,ㄔㄨ ㄕˋ,to show / to take out and show to others / to display,
出手,ㄔㄨ ㄕㄡˇ,to dispose of / to spend (money) / to undertake a task,
出頭,ㄔㄨ ㄊㄡˊ,to get out of a predicament / to stick out / to take the initiative / remaining odd fraction after a division / a little more than,
出頭,ㄔㄨ ㄊㄡˊ,to get out of a predicament / to stick out / to take the initiative / remaining odd fraction after a division / a little more than,
